x y
1.293103082168175049e+11 7.519547480814248657e+10
1.193357375259816132e+11 9.018150850585993958e+10
1.076317420175946808e+11 1.038606151348518829e+11
9.436771921550576782e+10 1.160343434454257507e+11
7.973570313739904785e+10 1.265259773385885925e+11
6.394760422806842804e+10 1.351831027717492065e+11
4.723215952894486237e+10 1.418798283252570190e+11
2.983163586709859848e+10 1.465186267139360657e+11
1.199833258911752319e+10 1.490317696900700378e+11
-6.009066491322521210e+09 1.493823343933426208e+11
-2.392923977754687881e+10 1.475647651946059570e+11
-4.150201927571418762e+10 1.436049813804853516e+11
-5.847217173321436310e+10 1.375600275523204956e+11
-7.459311435333140564e+10 1.295172702751655731e+11
-8.963051049995396423e+10 1.195931512127055664e+11
-1.033656922257931824e+11 1.079315136184344635e+11
-1.155988587051227722e+11 9.470152551479928589e+10
-1.261520027105764160e+11 8.009522907101635742e+10
-1.348715211102004852e+11 6.432475147840135193e+10
-1.416304699267995300e+11 4.761921791419311523e+10
-1.463304297317901611e+11 3.022141188200550079e+10
-1.489029529604145203e+11 1.238423222911671829e+10
-1.493105710406957397e+11 -5.633000610779972076e+09
-1.475473459195834351e+11 -2.356833418069659424e+10
-1.436389575315238647e+11 -4.116101285783160400e+10
-1.376423258656362305e+11 -5.815528885967488861e+10
-1.296447734224818573e+11 -7.430415854037985229e+10
-1.197627408841585388e+11 -8.937296832218167114e+10
-1.081400756287898865e+11 -1.031428367010263977e+11
-9.494591918467913818e+10 -1.154138417088355255e+11
-8.037222573119415283e+10 -1.260079269480611267e+11
-6.463094921453404236e+10 -1.347714837637962799e+11
-4.795094147161300659e+10 -1.415775721986462097e+11
-3.057460787369010162e+10 -1.463277489898742676e+11
-1.275437035800850296e+10 -1.489534769138476257e+11
5.251009728369892120e+09 -1.494170961519206238e+11
2.318019481602876663e+10 -1.477123449353021240e+11
4.077306527409506989e+10 -1.438644234156800537e+11
5.777448940909362793e+10 -1.379296013980830994e+11
7.393801489194245911e+10 -1.299943771624054871e+11
8.902942870002000427e+10 -1.201742009966579132e+11
1.028301348868911743e+11 -1.086117831826728821e+11
1.151403023964465332e+11 -9.547501193669102478e+10
1.257817386640130157e+11 -8.095451214506828308e+10
1.346004488327205963e+11 -6.526088059049018097e+10
1.414688449939597473e+11 -4.862163768668341827e+10
1.462875748688961792e+11 -3.127793948826093292e+10
1.489869447153211060e+11 -1.348109688346179962e+10
1.495279169017699585e+11 4.511048615233425140e+09
1.479026684700349121e+11 2.243784121420833969e+10
1.441347030393952942e+11 4.003956686152567291e+10
1.382785145228822327e+11 5.706119598629463196e+10
1.304188072596972504e+11 7.325606016237338257e+10
1.206692832505918884e+11 8.838941075396221924e+10
1.091710131465276642e+11 1.022418091230752258e+11
9.609041341694088745e+10 1.146123001626262665e+11
8.161685764379855347e+10 1.253213237469926605e+11
6.595995508254526520e+10 1.342133221413296509e+11
4.934653443238174438e+10 1.411590054516880188e+11
3.201737509822500992e+10 1.460572417927179260e+11
1.422373203894186401e+10 1.488365439528516846e+11
-3.776296482486949921e+09 1.494561298940876160e+11
-2.172150636075331116e+10 1.479065403715431824e+11
-3.935137656978230286e+10 1.442098032243784485e+11
-5.640985467670872498e+10 1.384191403931654663e+11
-7.264908375398843384e+10 1.306182203696385956e+11
-8.783301598323298645e+10 1.209199654860027161e+11
-1.017408595610585785e+11 1.094649300996605835e+11
-1.141703076628762207e+11 9.641927221823205566e+10
-1.249405011801373444e+11 8.197234732993432617e+10
-1.338946806892592163e+11 6.633395904702836609e+10
-1.409024875893168335e+11 4.973130652940904999e+10
-1.458618794976973572e+11 3.240567343161978912e+10
-1.487006307401852112e+11 1.460890721826125717e+10
-1.493773950224203186e+11 -3.400258960212848663e+09
-1.478823140193255920e+11 -2.135998711351062775e+10
-1.442371625541451721e+11 -3.900916160782655334e+10
-1.384950281382844849e+11 -5.609120559302976990e+10
-1.307395297821813507e+11 -7.235782971438929749e+10
-1.210835880399445648e+11 -8.757265725318069458e+10
-1.096677650926276550e+11 -1.015146718265172272e+11
-9.665820018816744995e+10 -1.139814366178497925e+11
-8.224417182974604797e+10 -1.247920377488360748e+11
-6.663532363883267975e+10 -1.337897087688009338e+11
-5.005859572742816162e+10 -1.408440982451546021e+11
-3.275490762349409485e+10 -1.458531479920195618e+11
-1.497564224715747070e+10 -1.487445554725076294e+11
3.021016907924175262e+09 -1.494768002453812256e+11
2.097384139853361511e+10 -1.480397208899794922e+11
3.862235126749508667e+10 -1.444546355255721741e+11
5.571059111844232178e+10 -1.387740057368744507e+11
7.199083428506146240e+10 -1.310806503253366394e+11
8.722716195359002686e+10 -1.214865217315594788e+11
1.011988662354883728e+11 -1.101310641310782471e+11
1.137036290105173035e+11 -9.717917801570419312e+10
1.245604318127863770e+11 -8.281882146655191040e+10
1.336121560524770660e+11 -6.725828324290419769e+10
1.407278373891360474e+11 -5.072316720221199799e+10
1.458045430316340332e+11 -3.345313138835838699e+10
1.487688460667864990e+11 -1.569842834333302689e+10
1.495778765444122925e+11 2.283704215570938110e+09
1.482199349024333801e+11 2.023275127567063904e+10
1.447146593329155579e+11 3.788867461972096252e+10
1.391127448004598083e+11 5.499566018834306335e+10
1.314952175600706024e+11 7.130580586156912231e+10
1.219722751146208191e+11 8.658269757313772583e+10
1.106817075342670288e+11 1.006048231110263214e+11
9.778692186334426880e+10 1.131687750606051331e+11
8.347459689578182983e+10 1.240921970965203552e+11
6.795200083913028717e+10 1.332164312036602478e+11
5.144400924119722748e+10 1.404088273772891235e+11
3.418986495406099319e+10 1.455646818811947937e+11
1.643972579137254715e+10 1.486087751859499207e+11
-1.548951167549148560e+09 1.494964862139712830e+11
-1.951513701928839111e+10 1.482144654217963257e+11
-3.719801666014245605e+10 1.447808554815735168e+11
-5.434077781847494507e+10 1.392450548029120789e+11
-7.069434829587561035e+10 1.316870257742776642e+11
-8.602102660353976440e+10 1.222161563038923187e+11
-1.000979523942925873e+11 1.109696899012961578e+11
-1.127203651344495697e+11 9.811074605564582825e+10
-1.237046023201569366e+11 8.382595892643685913e+10
-1.328907921911500549e+11 6.832276825770507050e+10
-1.401452002860271606e+11 5.182640185165346527e+10
-1.453621942561914062e+11 3.457659379128912354e+10
-1.484657970342984009e+11 1.682408679148336029e+10
-1.494108046470174866e+11 -1.173029497786777496e+09
-1.481834515685269165e+11 -1.915308978175004196e+10
-1.448016134176862793e+11 -3.685467778670207214e+10
-1.393145438880964050e+11 -5.402044722229156494e+10
-1.318021499415863647e+11 -7.040088202022085571e+10
-1.223738163659840088e+11 -8.575793980752030945e+10
-1.111667976730411682e+11 -9.986852444984353638e+10
-9.834420187268423462e+10 -1.125277362385760498e+11
-8.409259679372630310e+10 -1.235518518399834442e+11
-6.861927522755955505e+10 -1.327809904049882965e+11
-5.214922016145910645e+10 -1.400814271712566528e+11
-3.492181566753817749e+10 -1.453475213813276672e+11
-1.718735256308983612e+10 -1.485032312898775330e+11
7.966192849326248169e+08 -1.495031953330993652e+11
1.876903820104393387e+10 -1.483333650744562378e+11
3.646912257085686493e+10 -1.450111822148035278e+11
5.364015214218318176e+10 -1.395852986547501221e+11
7.003318409024685669e+10 -1.321348452214540710e+11
8.541065048947138977e+10 -1.227682611254820862e+11
9.954978588439494324e+10 -1.116217024081861572e+11
1.122458363940925293e+11 -9.885705349706085205e+10
1.233150051626038818e+11 -8.465957143554879761e+10
1.325970929216060333e+11 -6.923519733371783447e+10
1.399577968965329590e+11 -5.280757404509226990e+10
1.452906361967039795e+11 -3.561481296921758270e+10
1.485184771155723267e+11 -1.790605617382831573e+10
1.495946373601493225e+11 6.211730332677459717e+07
1.485035540601411133e+11 1.802939009630368805e+10
1.452610064087320862e+11 3.573545786804046631e+10
1.399138898899615173e+11 5.292378047751065063e+10
